Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
summ_total_scan_edithc_mg,summary,,text,Total milligrams of study edibles (THC) used  (1 unit = 1 mg),,,number,,,,,,,,,,
summ_total_scan_edicbd_mg,summary,,text,Total milligrams of study edibles (CBD) used  (1 unit = 1 mg),,,number,,,,,,,,,,
summ_total_scan_edi_d,summary,,text,Total days study edibles used ,,,number,,,,,,,,,,
summ_avg_scan_edi_mgpd,summary,,text,Avg. milligrams per day that study edibles used  (1 unit = 1 mg),,,number,,,,,,,,,,
summ_total_ncan_edi_mg,summary,,text,Total milligrams of non-study edibles used  (THC+CBD) (1 unit = 1 mg) ,,,number,,,,,,,,,,
summ_total_ncan_edithc_mg,summary,,text,Total milligrams of non-study edibles (THC) used (1 unit = 1 mg),,,number,,,,,,,,,,
summ_total_ncan_edicbd_mg,summary,,text,Total milligrams of non-study edibles (CBD) used (1 unit = 1 mg),,,number,,,,,,,,,,
summ_total_ncan_edi_d,summary,,text,Total days non-study edibles used ,,,number,,,,,,,,,,
summ_avg_ncan_edi_mgpd,summary,,text,Avg. milligrams per day that non-study edible used  (1 unit = 1mg),,,number,,,,,,,,,,
summ_total_can_edi_mg,summary,,text,Total milligrams of study and non-study edibles used  (THC+CBD) (1 unit = 1 mg),,,number,,,,,,,,,,
summ_total_can_edi_d,summary,,text,"Total days study and non-study edibles used 
",,,number,,,,,,,,,,
summ_avg_can_edi_mgpd,summary,,text,Avg. milligrams per day that study and non-study edible used  (1 unit = 1 mg),,,number,,,,,,,,,,
summ_total_ncan_dab_hits,summary,,text,Total hits of non-study concentrates used  (1 unit = 1 dab/drag/hit),,,number,,,,,,,,,,
summ_total_ncan_dab_d,summary,,text,Total days non-study concentrates used ,,,number,,,,,,,,,,
summ_avg_ncan_dab_hitspd,summary,,text,Avg. hits per day that non-study concentrates used (1 unit = 1 dab/drag/hit),,,number,,,,,,,,,,
summ_avg_ncan_dabthc_perc,summary,,text,Avg. potency of non-study concentrate (THC) used (0-100%),,,number,,,,,,,,,,
summ_avg_ncan_dabcbd_perc,summary,,text,Avg. potency of non-study concentrate (CBD) used (0-100%),,,number,,,,,,,,,,
summ_total_ncan_patch_d,summary,,text,Total days cannabis patch used,,,number,,,,,,,,,,
summ_total_scan_all_d,summary,,text,Total days any study cannabis used,,,number,,,,,,,,,,
summ_total_ncan_all_d,summary,,text,Total days any non-study cannabis used,,,number,,,,,,,,,,
summ_total_can_all_d,summary,,text,Total days any cannabis used,,,number,,,,,,,,,,
summ_total_canalc_d,summary,,text,Total days cannabis and alcohol both used,,,number,,,,,,,,,,
summ_total_rx_opd_mg,summary,,text,Total mg of rx opiods used  (mg/pill x #pills; if #pills not reported then 1 pill assumed),,,number,,,,,,,,,,
summ_total_rx_sleep_mg,summary,,text,Total mg of rx sleep medication used  (mg/pill x #pills; if #pills not reported then 1 pill assumed),,,number,,,,,,,,,,
summ_total_rx_mrelax_mg,summary,,text,Total mg of rx muscle relaxers used  (mg/pill x #pills; if #pills not reported then 1 pill assumed),,,number,,,,,,,,,,
summ_total_rx_nsaid_mg,summary,,text,Total mg of rx nonsteroidal anti-inflammatories used  (mg/pill x #pills; if #pills not reported then 1 pill assumed),,,number,,,,,,,,,,
summ_total_rx_nerv_mg,summary,,text,Total mg of rx nerve pain drugs used  (mg/pill x #pills; if #pills not reported then 1 pill assumed),,,number,,,,,,,,,,
summ_total_rx_adhd_mg,summary,,text,Total mg of rx adhd medication used  (mg/pill x #pills; if #pills not reported then 1 pill assumed),,,number,,,,,,,,,,
summ_total_rx_other_mg,summary,,text,Total mg of rx other medication used  (mg/pill x #pills; if #pills not reported then 1 pill assumed),,,number,,,,,,,,,,
summ_total_rx_opd_d,summary,,text,Total days rx opiods used,,,number,,,,,,,,,,
summ_total_rx_sleep_d,summary,,text,Total days rx sleep medication used,,,number,,,,,,,,,,
summ_total_rx_mrelax_d,summary,,text,Total days rx muscle relaxers used,,,number,,,,,,,,,,
summ_total_rx_nsaid_d,summary,,text,Total days rx nonsteroidal anti-inflammatories used,,,number,,,,,,,,,,
summ_total_rx_nerv_d,summary,,text,Total days rx nerve pain drugs used,,,number,,,,,,,,,,
summ_total_rx_adhd_d,summary,,text,Total days rx adhd medication used,,,number,,,,,,,,,,
summ_total_rx_other_d,summary,,text,Total days rx other medication used,,,number,,,,,,,,,,
summ_total_rx_all_d,summary,,text,Total days any rx drugs used,,,number,,,,,,,,,,
summ_total_illegal_all_d,summary,,text,Total days any illegal drugs used ,,,number,,,,,,,,,,
pid_alc,alcohol,,text,PID is the five digit pin + entry date + random number,,,,,,y,,,,,,,
five_digit_alc,alcohol,,text,Participant 5 digit pin,,,,,,y,,,,,,,
cohort_alc,alcohol,,text,Cohort,,,,,,,,,,,,,
alc_beer_drinks_d01,alcohol,,text,Drinks of beer used (1 unit = 12oz can or bottle) - d01,,,,,,,,,,,,,
alc_wine_drinks_d01,alcohol,,text,Drinks of wine & champagne used (1 unit = 5oz glass) - d01,,,,,,,,,,,,,
alc_hliq_drinks_d01,alcohol,,text,Drinks of hard liquor used (1 unit = .5oz shot) - d001,,,,,,,,,,,,,
alc_other_names_d01,alcohol,,text,Names of other alcohol used - d01,,,,,,,,,,,,,
alc_other_drinks_d01,alcohol,,text,Drinks of other alcohol used - d01,,,,,,,,,,,,,
alc_beer_drinks_d02,alcohol,,text,Drinks of beer used (1 unit = 12oz can or bottle) - d02,,,,,,,,,,,,,
alc_wine_drinks_d02,alcohol,,text,Drinks of wine & champagne used (1 unit = 5oz glass) - d02,,,,,,,,,,,,,
alc_hliq_drinks_d02,alcohol,,text,Drinks of hard liquor used (1 unit = .5oz shot) - d002,,,,,,,,,,,,,
alc_other_names_d02,alcohol,,text,Names of other alcohol used - d02,,,,,,,,,,,,,
alc_other_drinks_d02,alcohol,,text,Drinks of other alcohol used - d02,,,,,,,,,,,,,
alc_beer_drinks_d03,alcohol,,text,Drinks of beer used (1 unit = 12oz can or bottle) - d03,,,,,,,,,,,,,
alc_wine_drinks_d03,alcohol,,text,Drinks of wine & champagne used (1 unit = 5oz glass) - d03,,,,,,,,,,,,,
alc_hliq_drinks_d03,alcohol,,text,Drinks of hard liquor used (1 unit = .5oz shot) - d003,,,,,,,,,,,,,
alc_other_names_d03,alcohol,,text,Names of other alcohol used - d03,,,,,,,,,,,,,
alc_other_drinks_d03,alcohol,,text,Drinks of other alcohol used - d03,,,,,,,,,,,,,
alc_beer_drinks_d04,alcohol,,text,Drinks of beer used (1 unit = 12oz can or bottle) - d04,,,,,,,,,,,,,
alc_wine_drinks_d04,alcohol,,text,Drinks of wine & champagne used (1 unit = 5oz glass) - d04,,,,,,,,,,,,,
alc_hliq_drinks_d04,alcohol,,text,Drinks of hard liquor used (1 unit = .5oz shot) - d004,,,,,,,,,,,,,
alc_other_names_d04,alcohol,,text,Names of other alcohol used - d04,,,,,,,,,,,,,
alc_other_drinks_d04,alcohol,,text,Drinks of other alcohol used - d04,,,,,,,,,,,,,
alc_beer_drinks_d05,alcohol,,text,Drinks of beer used (1 unit = 12oz can or bottle) - d05,,,,,,,,,,,,,
alc_wine_drinks_d05,alcohol,,text,Drinks of wine & champagne used (1 unit = 5oz glass) - d05,,,,,,,,,,,,,
alc_hliq_drinks_d05,alcohol,,text,Drinks of hard liquor used (1 unit = .5oz shot) - d005,,,,,,,,,,,,,
alc_other_names_d05,alcohol,,text,Names of other alcohol used - d05,,,,,,,,,,,,,
alc_other_drinks_d05,alcohol,,text,Drinks of other alcohol used - d05,,,,,,,,,,,,,
alc_beer_drinks_d06,alcohol,,text,Drinks of beer used (1 unit = 12oz can or bottle) - d06,,,,,,,,,,,,,
alc_wine_drinks_d06,alcohol,,text,Drinks of wine & champagne used (1 unit = 5oz glass) - d06,,,,,,,,,,,,,
alc_hliq_drinks_d06,alcohol,,text,Drinks of hard liquor used (1 unit = .5oz shot) - d006,,,,,,,,,,,,,
alc_other_names_d06,alcohol,,text,Names of other alcohol used - d06,,,,,,,,,,,,,
alc_other_drinks_d06,alcohol,,text,Drinks of other alcohol used - d06,,,,,,,,,,,,,
alc_beer_drinks_d07,alcohol,,text,Drinks of beer used (1 unit = 12oz can or bottle) - d07,,,,,,,,,,,,,
alc_wine_drinks_d07,alcohol,,text,Drinks of wine & champagne used (1 unit = 5oz glass) - d07,,,,,,,,,,,,,
alc_hliq_drinks_d07,alcohol,,text,Drinks of hard liquor used (1 unit = .5oz shot) - d007,,,,,,,,,,,,,
alc_other_names_d07,alcohol,,text,Names of other alcohol used - d07,,,,,,,,,,,,,
alc_other_drinks_d07,alcohol,,text,Drinks of other alcohol used - d07,,,,,,,,,,,,,
alc_beer_drinks_d08,alcohol,,text,Drinks of beer used (1 unit = 12oz can or bottle) - d08,,,,,,,,,,,,,
alc_wine_drinks_d08,alcohol,,text,Drinks of wine & champagne used (1 unit = 5oz glass) - d08,,,,,,,,,,,,,
alc_hliq_drinks_d08,alcohol,,text,Drinks of hard liquor used (1 unit = .5oz shot) - d008,,,,,,,,,,,,,
alc_other_names_d08,alcohol,,text,Names of other alcohol used - d08,,,,,,,,,,,,,
alc_other_drinks_d08,alcohol,,text,Drinks of other alcohol used - d08,,,,,,,,,,,,,
alc_beer_drinks_d09,alcohol,,text,Drinks of beer used (1 unit = 12oz can or bottle) - d09,,,,,,,,,,,,,
alc_wine_drinks_d09,alcohol,,text,Drinks of wine & champagne used (1 unit = 5oz glass) - d09,,,,,,,,,,,,,
alc_hliq_drinks_d09,alcohol,,text,Drinks of hard liquor used (1 unit = .5oz shot) - d009,,,,,,,,,,,,,
alc_other_names_d09,alcohol,,text,Names of other alcohol used - d09,,,,,,,,,,,,,
alc_other_drinks_d09,alcohol,,text,Drinks of other alcohol used - d09,,,,,,,,,,,,,
alc_beer_drinks_d10,alcohol,,text,Drinks of beer used (1 unit = 12oz can or bottle) - d10,,,,,,,,,,,,,
alc_wine_drinks_d10,alcohol,,text,Drinks of wine & champagne used (1 unit = 5oz glass) - d10,,,,,,,,,,,,,
alc_hliq_drinks_d10,alcohol,,text,Drinks of hard liquor used (1 unit = .5oz shot) - d010,,,,,,,,,,,,,
alc_other_names_d10,alcohol,,text,Names of other alcohol used - d10,,,,,,,,,,,,,
alc_other_drinks_d10,alcohol,,text,Drinks of other alcohol used - d10,,,,,,,,,,,,,
alc_beer_drinks_d11,alcohol,,text,Drinks of beer used (1 unit = 12oz can or bottle) - d11,,,,,,,,,,,,,
alc_wine_drinks_d11,alcohol,,text,Drinks of wine & champagne used (1 unit = 5oz glass) - d11,,,,,,,,,,,,,
alc_hliq_drinks_d11,alcohol,,text,Drinks of hard liquor used (1 unit = .5oz shot) - d011,,,,,,,,,,,,,
alc_other_names_d11,alcohol,,text,Names of other alcohol used - d11,,,,,,,,,,,,,
alc_other_drinks_d11,alcohol,,text,Drinks of other alcohol used - d11,,,,,,,,,,,,,
alc_beer_drinks_d12,alcohol,,text,Drinks of beer used (1 unit = 12oz can or bottle) - d12,,,,,,,,,,,,,
alc_wine_drinks_d12,alcohol,,text,Drinks of wine & champagne used (1 unit = 5oz glass) - d12,,,,,,,,,,,,,
alc_hliq_drinks_d12,alcohol,,text,Drinks of hard liquor used (1 unit = .5oz shot) - d012,,,,,,,,,,,,,
alc_other_names_d12,alcohol,,text,Names of other alcohol used - d12,,,,,,,,,,,,,
alc_other_drinks_d12,alcohol,,text,Drinks of other alcohol used - d12,,,,,,,,,,,,,
alc_beer_drinks_d13,alcohol,,text,Drinks of beer used (1 unit = 12oz can or bottle) - d13,,,,,,,,,,,,,
alc_wine_drinks_d13,alcohol,,text,Drinks of wine & champagne used (1 unit = 5oz glass) - d13,,,,,,,,,,,,,
alc_hliq_drinks_d13,alcohol,,text,Drinks of hard liquor used (1 unit = .5oz shot) - d013,,,,,,,,,,,,,
alc_other_names_d13,alcohol,,text,Names of other alcohol used - d13,,,,,,,,,,,,,
alc_other_drinks_d13,alcohol,,text,Drinks of other alcohol used - d13,,,,,,,,,,,,,
alc_beer_drinks_d14,alcohol,,text,Drinks of beer used (1 unit = 12oz can or bottle) - d14,,,,,,,,,,,,,
alc_wine_drinks_d14,alcohol,,text,Drinks of wine & champagne used (1 unit = 5oz glass) - d14,,,,,,,,,,,,,
alc_hliq_drinks_d14,alcohol,,text,Drinks of hard liquor used (1 unit = .5oz shot) - d014,,,,,,,,,,,,,
alc_other_names_d14,alcohol,,text,Names of other alcohol used - d14,,,,,,,,,,,,,
alc_other_drinks_d14,alcohol,,text,Drinks of other alcohol used - d14,,,,,,,,,,,,,
alc_beer_drinks_d15,alcohol,,text,Drinks of beer used (1 unit = 12oz can or bottle) - d15,,,,,,,,,,,,,
alc_wine_drinks_d15,alcohol,,text,Drinks of wine & champagne used (1 unit = 5oz glass) - d15,,,,,,,,,,,,,
alc_hliq_drinks_d15,alcohol,,text,Drinks of hard liquor used (1 unit = .5oz shot) - d015,,,,,,,,,,,,,
alc_other_names_d15,alcohol,,text,Names of other alcohol used - d15,,,,,,,,,,,,,
alc_other_drinks_d15,alcohol,,text,Drinks of other alcohol used - d15,,,,,,,,,,,,,
alc_beer_drinks_d16,alcohol,,text,Drinks of beer used (1 unit = 12oz can or bottle) - d16,,,,,,,,,,,,,
alc_wine_drinks_d16,alcohol,,text,Drinks of wine & champagne used (1 unit = 5oz glass) - d16,,,,,,,,,,,,,
alc_hliq_drinks_d16,alcohol,,text,Drinks of hard liquor used (1 unit = .5oz shot) - d016,,,,,,,,,,,,,
alc_other_names_d16,alcohol,,text,Names of other alcohol used - d16,,,,,,,,,,,,,
alc_other_drinks_d16,alcohol,,text,Drinks of other alcohol used - d16,,,,,,,,,,,,,
alc_beer_drinks_d17,alcohol,,text,Drinks of beer used (1 unit = 12oz can or bottle) - d17,,,,,,,,,,,,,
alc_wine_drinks_d17,alcohol,,text,Drinks of wine & champagne used (1 unit = 5oz glass) - d17,,,,,,,,,,,,,
alc_hliq_drinks_d17,alcohol,,text,Drinks of hard liquor used (1 unit = .5oz shot) - d017,,,,,,,,,,,,,
alc_other_names_d17,alcohol,,text,Names of other alcohol used - d17,,,,,,,,,,,,,
alc_other_drinks_d17,alcohol,,text,Drinks of other alcohol used - d17,,,,,,,,,,,,,
alc_beer_drinks_d18,alcohol,,text,Drinks of beer used (1 unit = 12oz can or bottle) - d18,,,,,,,,,,,,,
alc_wine_drinks_d18,alcohol,,text,Drinks of wine & champagne used (1 unit = 5oz glass) - d18,,,,,,,,,,,,,
alc_hliq_drinks_d18,alcohol,,text,Drinks of hard liquor used (1 unit = .5oz shot) - d018,,,,,,,,,,,,,
alc_other_names_d18,alcohol,,text,Names of other alcohol used - d18,,,,,,,,,,,,,
alc_other_drinks_d18,alcohol,,text,Drinks of other alcohol used - d18,,,,,,,,,,,,,
alc_beer_drinks_d19,alcohol,,text,Drinks of beer used (1 unit = 12oz can or bottle) - d19,,,,,,,,,,,,,
alc_wine_drinks_d19,alcohol,,text,Drinks of wine & champagne used (1 unit = 5oz glass) - d19,,,,,,,,,,,,,
alc_hliq_drinks_d19,alcohol,,text,Drinks of hard liquor used (1 unit = .5oz shot) - d019,,,,,,,,,,,,,
alc_other_names_d19,alcohol,,text,Names of other alcohol used - d19,,,,,,,,,,,,,
alc_other_drinks_d19,alcohol,,text,Drinks of other alcohol used - d19,,,,,,,,,,,,,
alc_beer_drinks_d20,alcohol,,text,Drinks of beer used (1 unit = 12oz can or bottle) - d20,,,,,,,,,,,,,
alc_wine_drinks_d20,alcohol,,text,Drinks of wine & champagne used (1 unit = 5oz glass) - d20,,,,,,,,,,,,,
alc_hliq_drinks_d20,alcohol,,text,Drinks of hard liquor used (1 unit = .5oz shot) - d020,,,,,,,,,,,,,
alc_other_names_d20,alcohol,,text,Names of other alcohol used - d20,,,,,,,,,,,,,
alc_other_drinks_d20,alcohol,,text,Drinks of other alcohol used - d20,,,,,,,,,,,,,
alc_beer_drinks_d21,alcohol,,text,Drinks of beer used (1 unit = 12oz can or bottle) - d21,,,,,,,,,,,,,
alc_wine_drinks_d21,alcohol,,text,Drinks of wine & champagne used (1 unit = 5oz glass) - d21,,,,,,,,,,,,,
alc_hliq_drinks_d21,alcohol,,text,Drinks of hard liquor used (1 unit = .5oz shot) - d021,,,,,,,,,,,,,
alc_other_names_d21,alcohol,,text,Names of other alcohol used - d21,,,,,,,,,,,,,
alc_other_drinks_d21,alcohol,,text,Drinks of other alcohol used - d21,,,,,,,,,,,,,
alc_beer_drinks_d22,alcohol,,text,Drinks of beer used (1 unit = 12oz can or bottle) - d22,,,,,,,,,,,,,
alc_wine_drinks_d22,alcohol,,text,Drinks of wine & champagne used (1 unit = 5oz glass) - d22,,,,,,,,,,,,,
alc_hliq_drinks_d22,alcohol,,text,Drinks of hard liquor used (1 unit = .5oz shot) - d022,,,,,,,,,,,,,
alc_other_names_d22,alcohol,,text,Names of other alcohol used - d22,,,,,,,,,,,,,
alc_other_drinks_d22,alcohol,,text,Drinks of other alcohol used - d22,,,,,,,,,,,,,
alc_beer_drinks_d23,alcohol,,text,Drinks of beer used (1 unit = 12oz can or bottle) - d23,,,,,,,,,,,,,
alc_wine_drinks_d23,alcohol,,text,Drinks of wine & champagne used (1 unit = 5oz glass) - d23,,,,,,,,,,,,,
alc_hliq_drinks_d23,alcohol,,text,Drinks of hard liquor used (1 unit = .5oz shot) - d023,,,,,,,,,,,,,
alc_other_names_d23,alcohol,,text,Names of other alcohol used - d23,,,,,,,,,,,,,
alc_other_drinks_d23,alcohol,,text,Drinks of other alcohol used - d23,,,,,,,,,,,,,
alc_beer_drinks_d24,alcohol,,text,Drinks of beer used (1 unit = 12oz can or bottle) - d24,,,,,,,,,,,,,
alc_wine_drinks_d24,alcohol,,text,Drinks of wine & champagne used (1 unit = 5oz glass) - d24,,,,,,,,,,,,,
alc_hliq_drinks_d24,alcohol,,text,Drinks of hard liquor used (1 unit = .5oz shot) - d024,,,,,,,,,,,,,
alc_other_names_d24,alcohol,,text,Names of other alcohol used - d24,,,,,,,,,,,,,
alc_other_drinks_d24,alcohol,,text,Drinks of other alcohol used - d24,,,,,,,,,,,,,
alc_beer_drinks_d25,alcohol,,text,Drinks of beer used (1 unit = 12oz can or bottle) - d25,,,,,,,,,,,,,
alc_wine_drinks_d25,alcohol,,text,Drinks of wine & champagne used (1 unit = 5oz glass) - d25,,,,,,,,,,,,,
alc_hliq_drinks_d25,alcohol,,text,Drinks of hard liquor used (1 unit = .5oz shot) - d025,,,,,,,,,,,,,
alc_other_names_d25,alcohol,,text,Names of other alcohol used - d25,,,,,,,,,,,,,
alc_other_drinks_d25,alcohol,,text,Drinks of other alcohol used - d25,,,,,,,,,,,,,
alc_beer_drinks_d26,alcohol,,text,Drinks of beer used (1 unit = 12oz can or bottle) - d26,,,,,,,,,,,,,
alc_wine_drinks_d26,alcohol,,text,Drinks of wine & champagne used (1 unit = 5oz glass) - d26,,,,,,,,,,,,,
alc_hliq_drinks_d26,alcohol,,text,Drinks of hard liquor used (1 unit = .5oz shot) - d026,,,,,,,,,,,,,
alc_other_names_d26,alcohol,,text,Names of other alcohol used - d26,,,,,,,,,,,,,
alc_other_drinks_d26,alcohol,,text,Drinks of other alcohol used - d26,,,,,,,,,,,,,
alc_beer_drinks_d27,alcohol,,text,Drinks of beer used (1 unit = 12oz can or bottle) - d27,,,,,,,,,,,,,
alc_wine_drinks_d27,alcohol,,text,Drinks of wine & champagne used (1 unit = 5oz glass) - d27,,,,,,,,,,,,,
alc_hliq_drinks_d27,alcohol,,text,Drinks of hard liquor used (1 unit = .5oz shot) - d027,,,,,,,,,,,,,
alc_other_names_d27,alcohol,,text,Names of other alcohol used - d27,,,,,,,,,,,,,
alc_other_drinks_d27,alcohol,,text,Drinks of other alcohol used - d27,,,,,,,,,,,,,
alc_beer_drinks_d28,alcohol,,text,Drinks of beer used (1 unit = 12oz can or bottle) - d28,,,,,,,,,,,,,
alc_wine_drinks_d28,alcohol,,text,Drinks of wine & champagne used (1 unit = 5oz glass) - d28,,,,,,,,,,,,,
alc_hliq_drinks_d28,alcohol,,text,Drinks of hard liquor used (1 unit = .5oz shot) - d028,,,,,,,,,,,,,
alc_other_names_d28,alcohol,,text,Names of other alcohol used - d28,,,,,,,,,,,,,
alc_other_drinks_d28,alcohol,,text,Drinks of other alcohol used - d28,,,,,,,,,,,,,
alc_beer_drinks_d29,alcohol,,text,Drinks of beer used (1 unit = 12oz can or bottle) - d29,,,,,,,,,,,,,
alc_wine_drinks_d29,alcohol,,text,Drinks of wine & champagne used (1 unit = 5oz glass) - d29,,,,,,,,,,,,,
alc_hliq_drinks_d29,alcohol,,text,Drinks of hard liquor used (1 unit = .5oz shot) - d029,,,,,,,,,,,,,
alc_other_names_d29,alcohol,,text,Names of other alcohol used - d29,,,,,,,,,,,,,
alc_other_drinks_d29,alcohol,,text,Drinks of other alcohol used - d29,,,,,,,,,,,,,
alc_beer_drinks_d30,alcohol,,text,Drinks of beer used (1 unit = 12oz can or bottle) - d30,,,,,,,,,,,,,
alc_wine_drinks_d30,alcohol,,text,Drinks of wine & champagne used (1 unit = 5oz glass) - d30,,,,,,,,,,,,,
